% GOterm	enrichment_P-value
GO:0002064	2.63835020810766e-06
GO:1901380	3.12292048323058e-06
GO:1901016	3.21827873745389e-06
GO:1901379	3.85701340063369e-06
GO:0043266	8.18199395386656e-06
GO:0043267	1.2755779144621e-05
GO:0017156	3.46403299652656e-05
GO:1903902	3.71669415214742e-05
GO:0030855	5.4782053979643e-05
GO:0051231	9.31761205777256e-05
GO:0006270	0.000114893990393404
GO:0090235	0.000194373604827662
GO:0030036	0.000290867050288586
GO:0071805	0.000310031339998749
GO:0045601	0.000331157870090139
GO:0017158	0.000467477311858547
GO:0045446	0.000536877461269178
GO:0030857	0.000563795194224134
GO:0002065	0.00060491261756104
GO:0030856	0.000637041260146628
GO:1903046	0.000642433601829075
GO:0051988	0.000756857716967637
GO:0033260	0.000775770917110585
GO:0006813	0.000815071288815884
GO:0031589	0.000887326812893557
GO:0001885	0.00105336100574115
GO:0032970	0.00106801644595908
GO:0044786	0.00119827459415798
GO:0043408	0.001223235865669
GO:0030155	0.00130348002023267
GO:0061005	0.00137102733030415
GO:0003158	0.00138777425090505
GO:0006268	0.00139897736937677
GO:0003184	0.00144185165599966
GO:0051590	0.00144185165599966
GO:0048524	0.00144459044871537
GO:0010810	0.001455926470818
GO:0061028	0.00156147408041199
GO:0007265	0.00160289845457972
GO:0051255	0.00194760498178288
GO:0002067	0.00199970838319702
GO:0060324	0.00224965038449345
GO:0060627	0.00240441987824608
GO:0048285	0.0024996248021107
GO:0045723	0.00255109342451719
GO:0034763	0.00259697577131221
GO:0000904	0.00261435471951396
GO:0044770	0.00268432562184851
GO:0032535	0.00268766838001763
GO:0006260	0.00278759602488895
