% GOterm	enrichment_P-value
GO:0007127	8.22787472309138e-07
GO:0061982	1.28360015409479e-06
GO:0051321	2.51868345225676e-06
GO:0140013	2.6941980764987e-06
GO:1903046	8.05740774615768e-06
GO:0000280	8.43723008506287e-06
GO:0048285	2.67152085976125e-05
GO:0090068	3.93854460075732e-05
GO:0045787	8.51364386128268e-05
GO:1902850	0.000197143022986741
GO:0045017	0.000346120290519608
GO:0007131	0.000535647030220144
GO:0140527	0.000535647030220144
GO:0008654	0.000553107082776013
GO:0046474	0.000683258746351111
GO:0006650	0.00088007503443517
GO:0035825	0.00110126478638539
GO:1902808	0.00131914796156559
GO:0046427	0.00136041369770143
GO:0046006	0.00157425914544733
GO:0046471	0.00206236407012284
GO:1904894	0.00206236407012284
GO:0007052	0.002159657861895
GO:0046488	0.00225291815200944
GO:0050798	0.00233787366660085
GO:2001243	0.00247465940639435
GO:0051276	0.00257736246819722
GO:0000132	0.0029547228118937
GO:0044772	0.00310970691230619
GO:1901989	0.00334107926645628
GO:0046486	0.00335492057668293
GO:0006644	0.00378512347942754
GO:0045132	0.00398777940927461
GO:0051294	0.00446639043017034
GO:0044770	0.0044867879979308
GO:0031109	0.00460596109183261
GO:0007346	0.00478735507025914
GO:0040001	0.00490497354492306
GO:0018342	0.00528382284350071
GO:0046007	0.00528382284350071
GO:0097354	0.00528382284350071
GO:0000226	0.0054273997020142
GO:0002931	0.00637291928348692
GO:0046579	0.00637291928348692
GO:1900087	0.00637291928348692
GO:0000712	0.00641090899617634
GO:0006661	0.00669117643339118
GO:0140694	0.00705493208527632
GO:1902117	0.00739727259215191
GO:0098813	0.00748823441025118
