id,Total_Cell_Count,Proliferative_Cell_Count,Proliferative_Cell_Percentage
hsa-miR-2115-3p,457.5,16.5,3.606557377
hsa-miR-2114-5p,557,6,1.077199282
hsa-miR-2114-3p,665.5,154,23.14049587
hsa-miR-2113,822,208,25.30413625
hsa-miR-2110,560.5,9.5,1.694915254
hsa-miR-211-5p,654,152.5,23.31804281
hsa-miR-211-3p,680.5,168.5,24.761205
hsa-miR-210,1001.5,270,26.95956066
hsa-miR-21-5p,568.5,152.5,26.82497801
hsa-miR-21-3p,541,21.5,3.974121996
hsa-miR-20b-5p,966.5,292,30.21210554
hsa-miR-20b-3p,636.5,77.5,12.17596229
hsa-miR-20a-5p,904,370,40.92920354
hsa-miR-20a-3p,906,300,33.11258278
hsa-miR-208b,494.5,2.5,0.505561173
hsa-miR-208a,505,1.5,0.297029703
hsa-miR-206,436,7,1.605504587
hsa-miR-2054,521.5,86.5,16.58676894
hsa-miR-2053,622,103,16.55948553
hsa-miR-2052,942.5,449,47.63925729
hsa-miR-205-5p,394.5,10,2.534854246
hsa-miR-205-3p,552.5,53.5,9.683257919
hsa-miR-204-5p,612.5,109.5,17.87755102
hsa-miR-204-3p,599.5,136,22.68557131
hsa-miR-203b-5p,397.5,1.5,0.377358491
hsa-miR-203b-3p,488,18,3.68852459
hsa-miR-203a,558,15.5,2.777777778
hsa-miR-202-5p,489,118,24.13087935
hsa-miR-202-3p,571,47.5,8.318739054
hsa-miR-200c-5p,489,36,7.36196319
hsa-miR-200c-3p,515,43.5,8.446601942
hsa-miR-200b-5p,694.5,167.5,24.11807055
hsa-miR-200b-3p,465.5,22,4.726100967
hsa-miR-200a-5p,799,240.5,30.10012516
hsa-miR-200a-3p,565.5,64.5,11.40583554
hsa-miR-19b-3p,723,156,21.57676349
hsa-miR-19b-2-5p,491,56.5,11.50712831
hsa-miR-19b-1-5p,371,2.5,0.673854447
hsa-miR-19a-5p,714,156,21.8487395
hsa-miR-19a-3p,827,142.5,17.23095526
hsa-miR-199b-5p,1277.5,578,45.2446184
hsa-miR-199b-3p,708,259.5,36.65254237
hsa-miR-199a-5p,1195,450.5,37.69874477
hsa-miR-199a-3p,755,229,30.33112583
hsa-miR-198,774.5,190,24.5319561
hsa-miR-1979 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1978 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1977 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1976,476,18.5,3.886554622
hsa-miR-1975 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1974 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1973,700,104.5,14.92857143
hsa-miR-1972,431.5,17,3.939745075
hsa-miR-197-5p,711.5,175.5,24.66619817
hsa-miR-197-3p,719.5,138.5,19.2494788
hsa-miR-196b-5p,609.5,145.5,23.87202625
hsa-miR-196b-3p,481,54,11.22661123
hsa-miR-196a-5p,618,121.5,19.66019417
hsa-miR-196a-3p,533.5,31.5,5.904404873
hsa-miR-195-5p,391,4,1.023017903
hsa-miR-195-3p,631.5,142,22.4861441
hsa-miR-194-5p,542,97.5,17.98892989
hsa-miR-194-3p,803,260.5,32.44084682
hsa-miR-193b-5p,542.5,30,5.529953917
hsa-miR-193b-3p,347.5,2,0.575539568
hsa-miR-193a-5p,561,43,7.664884135
hsa-miR-193a-3p,375,5,1.333333333
hsa-miR-192-5p,388.5,1.5,0.386100386
hsa-miR-192-3p,506,17,3.359683794
hsa-miR-1915-5p,441.5,8,1.81200453
hsa-miR-1915-3p,668,220.5,33.00898204
hsa-miR-1914-5p,657.5,182.5,27.75665399
hsa-miR-1914-3p,861,381,44.25087108
hsa-miR-1913,1046.5,542,51.79168657
hsa-miR-1912,501.5,8,1.595214357
hsa-miR-1911-5p,539,73.5,13.63636364
hsa-miR-1911-3p,571.5,66.5,11.63604549
hsa-miR-1910,740,218,29.45945946
hsa-miR-191-5p,560.5,92.5,16.50312221
hsa-miR-191-3p,963.5,452,46.91229891
hsa-miR-190b,693,103,14.86291486
hsa-miR-190a,740,127.5,17.22972973
hsa-miR-1909-5p,595,43,7.226890756
hsa-miR-1909-3p,631,18,2.852614897
hsa-miR-1908,714,115,16.10644258
hsa-miR-18b-5p,572.5,66.5,11.61572052
hsa-miR-18b-3p,846,234,27.65957447
hsa-miR-18a-5p,646.5,80.5,12.4516628
hsa-miR-18a-3p,657,100,15.22070015
hsa-miR-188-5p,706.5,227.5,32.2009908
hsa-miR-188-3p,612.5,52,8.489795918
hsa-miR-187-5p,560,59,10.53571429
hsa-miR-187-3p,1065.5,436.5,40.96668231
hsa-miR-186-5p,620,127.5,20.56451613
hsa-miR-186-3p,686,211,30.75801749
hsa-miR-185-5p,545,18,3.302752294
hsa-miR-185-3p,468.5,12,2.561366062
hsa-miR-184,558.5,33,5.908683975
hsa-miR-183-5p,415,1,0.240963855
hsa-miR-183-3p,503.5,18,3.574975174
hsa-miR-1827,422.5,0,0
hsa-miR-1826 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1825,851.5,168,19.72988843
hsa-miR-182-5p,405.5,10,2.466091245
hsa-miR-182-3p,462.5,1.5,0.324324324
hsa-miR-181d,753,233,30.94289509
hsa-miR-181c-5p,476,86.5,18.17226891
hsa-miR-181c-3p,562.5,31,5.511111111
hsa-miR-181b-5p,810,270.5,33.39506173
hsa-miR-181b-3p,674,129,19.13946588
hsa-miR-181a-5p,655,180.5,27.55725191
hsa-miR-181a-3p,633,65,10.2685624
hsa-miR-181a-2-3p,846,360.5,42.61229314
hsa-miR-17-5p,1084.5,381.5,35.17750115
hsa-miR-17-3p,440.5,13.5,3.064699205
