id,Total_Cell_Count,Proliferative_Cell_Count,Proliferative_Cell_Percentage
hsa-miR-10b-3p,475.5,5,1.051524711
hsa-miR-10a-5p,519,63,12.13872832
hsa-miR-10a-3p,460,30.5,6.630434783
hsa-miR-107,456,43,9.429824561
hsa-miR-106b-5p,1040.5,446,42.86400769
hsa-miR-106b-3p,566,41,7.243816254
hsa-miR-106a-5p,956,292,30.54393305
hsa-miR-106a-3p,423,7,1.654846336
hsa-miR-105-5p,634,88.5,13.95899054
hsa-miR-105-3p,557,57,10.23339318
hsa-miR-103b,447.5,2.5,0.558659218
hsa-miR-103a-3p,467.5,33.5,7.165775401
hsa-miR-103a-2-5p,536,45,8.395522388
hsa-miR-101-5p,469.5,13.5,2.875399361
hsa-miR-101-3p,650,37.5,5.769230769
hsa-miR-100-5p,566.5,96.5,17.03442189
hsa-miR-100-3p,518,86,16.6023166
hsa-miR-1-3p,484,5,1.033057851
hsa-let-7i-5p,443.5,54,12.17587373
hsa-let-7i-3p,821,322,39.22046285
hsa-let-7g-5p,532.5,58.5,10.98591549
hsa-let-7g-3p,423,0.5,0.11820331
hsa-let-7f-5p,558.5,66.5,11.90689346
hsa-let-7f-2-3p,496,24,4.838709677
hsa-let-7f-1-3p,395.5,5.5,1.390644753
hsa-let-7e-5p,546,74,13.55311355
hsa-let-7e-3p,578.5,59.5,10.2852204
hsa-let-7d-5p,584.5,63.5,10.86398631
hsa-let-7d-3p,507,36.5,7.199211045
hsa-let-7c-5p,550,68,12.36363636
hsa-let-7c-3p,NA,NA,NA
hsa-let-7b-5p,630.5,86,13.63996828
hsa-let-7b-3p,480,23.5,4.895833333
hsa-let-7a-5p,607,72.5,11.94398682
hsa-let-7a-3p,449,24,5.345211581
hsa-let-7a-2-3p,473,14.5,3.065539112
