ID,Total_Cell_Count,MCavg_Norm_Cell_Count,Z_score
hsa-miR-5689,426.5,0.815763782,-1.053574457
hsa-miR-5688,606,1.159092268,0.129829992
hsa-miR-5687,548.5,1.049112391,-0.249254999
hsa-miR-5686,635,1.214560379,0.321020683
hsa-miR-5685,656,1.254726943,0.459469114
hsa-miR-5684,479,0.916180192,-0.707453379
hsa-miR-5683,428,0.818632823,-1.043685283
hsa-miR-5682,477.5,0.913311151,-0.717342552
hsa-miR-5681b,372,0.711521986,-1.4128811
hsa-miR-5681a,295.5,0.565200932,-1.917228957
hsa-miR-5680,462,0.883664402,-0.81953068
hsa-miR-568,984,1.882090415,2.621901756
hsa-miR-567,532,1.017552948,-0.358035909
hsa-miR-566,619.5,1.18491363,0.218832555
hsa-miR-564,511.5,0.978342731,-0.493187949
hsa-miR-563,534,1.021378335,-0.344850344
hsa-miR-562,524,1.0022514,-0.410778169
hsa-miR-561-5p,648,1.239425395,0.406726855
hsa-miR-561-3p,507,0.96973561,-0.52285547
hsa-miR-5591-5p,585.5,1.119882051,-0.005322048
hsa-miR-5591-3p,380,0.726823534,-1.360138841
hsa-miR-5590-5p,470,0.89896595,-0.766788421
hsa-miR-5590-3p,555.5,1.062501245,-0.203105522
hsa-miR-559,538.5,1.029985456,-0.315182823
hsa-miR-5589-5p,323,0.617800004,-1.73592744
hsa-miR-5589-3p,437,0.835847064,-0.984350241
hsa-miR-5588-5p,404,0.772728178,-1.201912062
hsa-miR-5588-3p,641,1.22603654,0.360577378
hsa-miR-5587-5p,428,0.818632823,-1.043685283
hsa-miR-5587-3p,513,0.981211771,-0.483298775
hsa-miR-5586-5p,392,0.749775856,-1.281025451
hsa-miR-5586-3p,614,1.174393816,0.182572252
hsa-miR-5585-5p,436.5,0.834890717,-0.987646633
hsa-miR-5585-3p,579.5,1.108405889,-0.044878743
hsa-miR-5584-5p,729.5,1.395309916,0.944038624
hsa-miR-5584-3p,401,0.766990098,-1.221690409
hsa-miR-5583-5p,608.5,1.163874001,0.146311948
hsa-miR-5583-3p,489.5,0.936263474,-0.638229163
hsa-miR-5582-5p,381,0.728736228,-1.353546058
hsa-miR-5582-3p,558.5,1.068239326,-0.183327174
hsa-miR-5581-5p,281.5,0.538423223,-2.009527912
hsa-miR-5581-3p,709.5,1.357056046,0.812182975
hsa-miR-5580-5p,493.5,0.943914248,-0.611858033
hsa-miR-5580-3p,460.5,0.880795362,-0.829419854
hsa-miR-558,439,0.839672451,-0.971164676
hsa-miR-5579-5p,637,1.218385766,0.334206248
hsa-miR-5579-3p,525,1.004164093,-0.404185386
hsa-miR-5572,332,0.635014246,-1.676592398
hsa-miR-5571-5p,448.5,0.85784304,-0.908533243
hsa-miR-5571-3p,386.5,0.739256042,-1.317285755
hsa-miR-557,555,1.061544898,-0.206401913
hsa-miR-556-5p,562,1.074933753,-0.160252436
hsa-miR-556-3p,472.5,0.903747684,-0.750306465
hsa-miR-555,454,0.868362854,-0.87227294
hsa-miR-554,627.5,1.200215178,0.271574815
hsa-miR-553,723.5,1.383833755,0.904481929
hsa-miR-552,506.5,0.968779263,-0.526151861
hsa-miR-551b-5p,400.5,0.766033751,-1.224986801
hsa-miR-551b-3p,719.5,1.376182981,0.878110799
hsa-miR-551a,638,1.22029846,0.34079903
hsa-miR-550b-3p,453.5,0.867406507,-0.875569331
hsa-miR-550b-2-5p,871.5,1.666912395,1.880213731
hsa-miR-550a-5p,607.5,1.161961308,0.139719166
hsa-miR-550a-3p,464,0.887489789,-0.806345115
hsa-miR-550a-3-5p,857.5,1.640134685,1.787914777
hsa-miR-549a,589,1.126576478,0.01775269
hsa-miR-548z,561,1.07302106,-0.166845218
hsa-miR-548y,466.5,0.892271523,-0.789863159
hsa-miR-548x-5p,448,0.856886693,-0.911829634
hsa-miR-548x-3p,722.25,1.381442888,0.896240951
hsa-miR-548w,685,1.310195055,0.650659805
hsa-miR-548v,500,0.956346755,-0.569004947
hsa-miR-548u,833.5,1.594230041,1.629687998
hsa-miR-548t-5p,677,1.294893507,0.597917546
hsa-miR-548t-3p,620.5,1.186826323,0.225425337
hsa-miR-548s,630.5,1.205953259,0.291353162
hsa-miR-548q,592.5,1.133270905,0.040827429
hsa-miR-548p,766,1.465123229,1.184675183
hsa-miR-548o-5p,720,1.377139328,0.881407191
hsa-miR-548o-3p,671.5,1.284373692,0.561657242
hsa-miR-548n,635.5,1.215516726,0.324317074
hsa-miR-548m,467.5,0.894184216,-0.783270377
hsa-miR-548l,653,1.248988863,0.439690767
hsa-miR-548k,473,0.904704031,-0.747010073
hsa-miR-548j-5p,580.5,1.110318583,-0.03828596
hsa-miR-548i,597,1.141878026,0.07049495
hsa-miR-548h-5p,541.5,1.035723536,-0.295404476
hsa-miR-548h-3p,501.5,0.959215796,-0.559115774
hsa-miR-548g-5p,456,0.872188241,-0.859087375
hsa-miR-548g-3p,856.5,1.638221992,1.781321995
hsa-miR-548e,562.5,1.0758901,-0.156956044
hsa-miR-548d-5p,606.5,1.160048614,0.133126383
hsa-miR-548d-3p,585,1.118925704,-0.008618439
hsa-miR-548c-5p,621,1.18778267,0.228721729
hsa-miR-548c-3p,648,1.239425395,0.406726855
hsa-miR-548b-5p,584,1.11701301,-0.015211222
hsa-miR-548b-3p,863.5,1.651610847,1.827471472
hsa-miR-548az-5p,551,1.053894124,-0.232773043
hsa-miR-548az-3p,395,0.755513937,-1.261247104
hsa-miR-548ay-5p,606,1.159092268,0.129829992
hsa-miR-548ay-3p,424,0.810982049,-1.070056413
hsa-miR-548ax,592,1.132314558,0.037531038
hsa-miR-548aw,428.5,0.819589169,-1.040388892
hsa-miR-548av-5p,471,0.900878644,-0.760195638
hsa-miR-548av-3p,809.5,1.548325397,1.47146122
hsa-miR-548au-5p,637.5,1.219342113,0.337502639
hsa-miR-548au-3p,366,0.700045825,-1.452437795
hsa-miR-548at-5p,460,0.879839015,-0.832716245
hsa-miR-548at-3p,412,0.788029726,-1.149169802
hsa-miR-548as-5p,577,1.103624156,-0.061360699
hsa-miR-548as-3p,585.5,1.119882051,-0.005322048
hsa-miR-548ar-5p,522,0.998426013,-0.423963733
hsa-miR-548ar-3p,435.5,0.832978024,-0.994239415
hsa-miR-548aq-5p,545,1.042417963,-0.272329737
hsa-miR-548aq-3p,632,1.208822299,0.301242336
hsa-miR-548ap-5p,661.5,1.265246757,0.495729418
hsa-miR-548ap-3p,507.5,0.970691957,-0.519559079
hsa-miR-548ao-5p,673.5,1.288199079,0.574842807
hsa-miR-548ao-3p,666.5,1.274810225,0.52869333
hsa-miR-548an,439.5,0.840628798,-0.967868285
hsa-miR-548am-5p,666.5,1.274810225,0.52869333
hsa-miR-548am-3p,763.5,1.460341495,1.168193227
hsa-miR-548al,581,1.11127493,-0.034989569
hsa-miR-548ak,665,1.271941185,0.518804156
hsa-miR-548aj-5p,519.5,0.993644279,-0.44044569
hsa-miR-548aj-3p,641,1.22603654,0.360577378
hsa-miR-548ai,791.5,1.513896914,1.352791136
hsa-miR-548ah-5p,736.5,1.408698771,0.990188101
hsa-miR-548ah-3p,674,1.289155426,0.578139198
hsa-miR-548ag,643,1.229861927,0.373762942
hsa-miR-548ae,711.5,1.360881433,0.82536854
hsa-miR-548ad,690,1.319758522,0.683623717
hsa-miR-548ac,645,1.233687314,0.386948507
hsa-miR-548ab,629.5,1.204040565,0.284760379
hsa-miR-548aa,494,0.944870594,-0.608561642
hsa-miR-548a-5p,680,1.300631587,0.617695893
hsa-miR-548a-3p,480.5,0.919049232,-0.697564205
hsa-miR-548-3p,549.6666667,1.051343866,-0.241563419
hsa-miR-545-5p,792.5,1.515809607,1.359383918
hsa-miR-545-3p,691.5,1.322627563,0.693512891
hsa-miR-544b,534.5,1.022334682,-0.341553953
hsa-miR-544a,439,0.839672451,-0.971164676
hsa-miR-543,623.5,1.192564404,0.245203685
hsa-miR-542-5p,553.5,1.058675858,-0.216291086
hsa-miR-542-3p,430,0.82245821,-1.030499718
hsa-miR-541-5p,619.5,1.18491363,0.218832555
hsa-miR-541-3p,543,1.038592576,-0.285515302
hsa-miR-539-5p,626.5,1.198302484,0.264982032
hsa-miR-539-3p,525.5,1.00512044,-0.400888995
hsa-miR-532-5p,492.5,0.942001554,-0.618450816
hsa-miR-532-3p,619.5,1.18491363,0.218832555
hsa-miR-527,444,0.849235919,-0.938200764
hsa-miR-526b-5p,380,0.726823534,-1.360138841
hsa-miR-526b-3p,1172.5,2.242633141,3.864641247
hsa-miR-526a,598.5,1.144747066,0.080384124
hsa-miR-525-5p,493.5,0.943914248,-0.611858033
hsa-miR-525-3p,533.5,1.020421988,-0.348146735
hsa-miR-524-5p,562,1.074933753,-0.160252436
hsa-miR-524-3p,505,0.965910223,-0.536041035
hsa-miR-523-5p,538.5,1.029985456,-0.315182823
hsa-miR-523-3p,961.5,1.839054811,2.473564151
hsa-miR-522-5p,556,1.063457592,-0.19980913
hsa-miR-522-3p,582,1.113187623,-0.028396787
hsa-miR-521,750,1.434520133,1.079190664
hsa-miR-520h,1279.5,2.447291347,4.570068969
hsa-miR-520g,1278,2.444422307,4.560179795
hsa-miR-520f,762,1.457472455,1.158304053
hsa-miR-520e,1133.5,2.168038094,3.607522732
hsa-miR-520d-5p,443,0.847323225,-0.944793547
hsa-miR-520d-3p,1066.5,2.039887629,3.165806308
hsa-miR-520c-5p,596.5,1.140921679,0.067198559
hsa-miR-520c-3p,1052,2.012153573,3.070210963
hsa-miR-520b,1042,1.993026638,3.004283138
hsa-miR-520a-5p,443,0.847323225,-0.944793547
hsa-miR-520a-3p,1021,1.952860074,2.865834707
hsa-miR-519e-5p,579.5,1.108405889,-0.044878743
hsa-miR-519e-3p,742,1.419218585,1.026448405
hsa-miR-519d,1048.5,2.005459146,3.047136224
hsa-miR-519c-5p,552,1.055806818,-0.22618026
hsa-miR-519c-3p,1338,2.559183917,4.955746742
