"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.88475238217123,-2.53108332091323,-2.7191621127114,NA,-2.50467239169877,-2.38264719318133,-2.5774066860312
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.45672681760524,-3.04328623147681,-3.27762301564518,-2.7956320534426,-3.07754791451027,-2.74593855039812,-2.97104979531187
