% GOterm	enrichment_P-value
GO:0035020	8.7630436270828e-05
GO:0071559	0.000249655342448716
GO:0051145	0.000374351311156854
GO:0071560	0.000475090602615808
GO:0035633	0.000506124720267943
GO:0007178	0.00056619067203121
GO:0071363	0.000605332337975715
GO:0070848	0.000628258731492135
GO:0007179	0.000643044160692765
GO:0030856	0.000773799543268588
GO:0140013	0.000811326613094163
GO:1903046	0.000930477309120824
GO:0150065	0.000989732692400502
GO:0042692	0.00107522084318861
GO:0016311	0.00115109328453317
GO:0003272	0.00117440558276956
GO:0051321	0.00120123664296079
GO:0030857	0.00147921164446808
GO:0003198	0.00199750995734176
GO:0051345	0.00202808673156141
GO:0010718	0.00228331425078316
GO:0003161	0.0023822163434666
GO:0000226	0.00249668330338983
GO:0045216	0.00254489582566375
GO:0048863	0.00256661807117612
GO:0018210	0.00292280751489755
GO:0046471	0.0029344363306528
GO:1902117	0.00330533386123219
GO:0016601	0.00347115841177052
GO:0031053	0.00355297697435386
GO:0045165	0.00364168269990242
GO:0045132	0.00388346920661586
GO:0003203	0.00430651734890397
GO:0032924	0.00430651734890397
GO:0061982	0.00441610025630018
GO:0072132	0.00466465071477669
GO:0060395	0.00495769623199619
GO:0061045	0.0053632667852877
GO:0018107	0.00550677082971271
GO:0030216	0.00587153858720997
GO:0007548	0.00595293057477584
GO:0030195	0.00608321214631784
GO:0060317	0.00608321214631784
GO:0061041	0.00632631734919859
GO:0031047	0.00635729666620768
GO:0006470	0.00640156975291425
GO:0070918	0.00695602337976797
GO:0051147	0.00697086290350412
GO:0001837	0.00698336838762993
GO:0007098	0.00698336838762993
