% GOterm	enrichment_P-value
GO:0001944	1.26466653463611e-07
GO:0001525	1.69249994904324e-07
GO:0001568	2.96753906671572e-07
GO:0048514	6.80894347575743e-07
GO:0051056	6.81351402069911e-06
GO:0030036	1.47901387075362e-05
GO:0045765	1.48932558009868e-05
GO:0007264	1.63866362657538e-05
GO:1901342	1.89142009672766e-05
GO:0045766	0.000112929691699241
GO:1904018	0.000112929691699241
GO:0051493	0.000148400422140331
GO:0007265	0.000174014156055748
GO:0006470	0.000223336784302884
GO:0010212	0.000415033036842018
GO:0030857	0.000455158783360628
GO:0043535	0.000537637906824171
GO:1901699	0.000679688734042608
GO:0010165	0.000751299306523131
GO:0072659	0.000760040129416686
GO:0045785	0.000851169324605756
GO:0032956	0.000875119269706405
GO:0071417	0.000913125555731479
GO:0031116	0.00100563063617661
GO:0016311	0.00101247817862259
GO:0031110	0.00105430103294146
GO:0032970	0.00114645311407552
GO:0010638	0.00125393838830109
GO:0002064	0.00126899179931902
GO:0006301	0.00128813253588267
GO:0009167	0.00128813253588267
GO:0034112	0.00128997359844581
GO:1990778	0.00147206823617335
GO:0046578	0.00165375221524031
GO:0009126	0.00202266201523676
GO:0071479	0.00204897850103507
GO:0034330	0.00208927870754009
GO:1902903	0.00211990703899344
GO:0031113	0.00216974542139453
GO:0031112	0.00219977432571373
GO:0043010	0.00227916354480933
GO:0001935	0.00235484574972949
GO:0045787	0.00241651222993555
GO:0086001	0.00249793810764534
GO:0009314	0.00253302021625802
GO:0035904	0.00261698934025631
GO:0007156	0.00274586842330029
GO:0035633	0.00292577906643004
GO:0031109	0.00297984185349827
GO:0007169	0.00319572855996772
