% GOterm	enrichment_P-value
GO:0120039	6.57424703555935e-09
GO:0048858	9.31857694477259e-09
GO:0032990	2.71669850551919e-08
GO:0001667	3.14010030324355e-08
GO:0051668	3.70486737190402e-08
GO:0007265	3.92176393172307e-08
GO:0071363	5.99131105283846e-08
GO:0007162	6.2202963442625e-08
GO:0048812	7.98473607020621e-08
GO:0007264	1.1068851662959e-07
GO:0070848	1.57521034823272e-07
GO:0048588	1.74364271231882e-07
GO:0030036	2.73687147600568e-07
GO:0030155	2.96602594464025e-07
GO:0032989	3.33548214927949e-07
GO:0072657	3.36633770256326e-07
GO:0040013	5.12486646169906e-07
GO:0006897	5.76607160006537e-07
GO:0072659	8.7377306547578e-07
GO:0000904	9.73003793431077e-07
GO:0060627	1.43303516257061e-06
GO:0010631	1.46697167030839e-06
GO:0090132	1.46697167030839e-06
GO:0090130	1.88670655067657e-06
GO:1990778	2.08365116332205e-06
GO:0007409	2.4788941430732e-06
GO:0009611	2.52890291258109e-06
GO:0042060	2.73540377053541e-06
GO:0031589	3.24512515983756e-06
GO:0051056	3.74509717243449e-06
GO:0006898	4.29275280899085e-06
GO:0001525	4.79945405012471e-06
GO:0007169	5.65612096736031e-06
GO:0030100	6.10012341848047e-06
GO:0045936	6.14876494244018e-06
GO:0010563	6.78122790893995e-06
GO:0045596	8.70041082304461e-06
GO:0048667	9.49533319117009e-06
GO:0002064	1.15019139439623e-05
GO:0045601	1.18962959719352e-05
GO:0007178	1.35834521305309e-05
GO:0061564	1.39070219769132e-05
GO:0043086	1.63130407361809e-05
GO:1990138	1.66327117703997e-05
GO:1901342	1.66847868286431e-05
GO:0090287	1.69112815382341e-05
GO:0022604	1.95368008630802e-05
GO:0050922	2.07649278801676e-05
GO:0050878	2.2127434307067e-05
GO:0007160	2.55643631075825e-05
