% GOterm	enrichment_P-value
GO:0001568	0.000132077608253521
GO:0016266	0.000223046812477901
GO:0001944	0.000283218547439369
GO:0048514	0.000376990138833391
GO:0010633	0.000487963650333478
GO:0050922	0.000510552259722286
GO:0050680	0.00066280974606065
GO:0009187	0.000722280588757679
GO:0070168	0.000722280588757679
GO:0110150	0.000722280588757679
GO:0015748	0.00076615644651273
GO:0051547	0.00100298084836192
GO:0061045	0.00101432541067539
GO:0045859	0.00106390488593257
GO:0010596	0.00114818023806203
GO:0001525	0.0011742102745985
GO:0006493	0.00123238707462847
GO:0008608	0.00129468030344161
GO:0030279	0.00148255839787433
GO:0007169	0.00155459442191498
GO:0030855	0.00169029666034143
GO:0006869	0.00175355160031394
GO:0051546	0.00178213043768787
GO:0015914	0.00191300034761386
GO:0010876	0.00197179566005708
GO:0030502	0.00228084641047733
GO:0017156	0.00233020224693661
GO:0048863	0.00251258279024022
GO:0010812	0.00273498330111524
GO:1903035	0.00273498330111524
GO:0046058	0.00285793026650781
GO:0060326	0.00286647095709514
GO:0001953	0.00305121776706751
GO:0035850	0.00305121776706751
GO:0033002	0.0031555171869521
GO:0045860	0.00318877567330531
GO:0032102	0.00319015676886657
GO:0060395	0.00330197252068628
GO:0001819	0.00375795231557858
GO:0001837	0.00389338540265171
GO:0032147	0.00393321361887041
GO:0002688	0.004084196903439
GO:0030595	0.00409510929591444
GO:0017158	0.00426186766567247
GO:0032495	0.00426186766567247
GO:0042058	0.00430439089735736
GO:0045445	0.00437321673585177
GO:0003407	0.00439704946362929
GO:0006605	0.0045470815022924
GO:0001656	0.00468202031493198
