% GOterm	enrichment_P-value
GO:0007059	1.63142856810138e-12
GO:0000075	8.43128412551105e-10
GO:0000280	4.91292391671484e-09
GO:0007093	6.51221271129704e-09
GO:0048285	7.95468191901998e-09
GO:0010948	2.02314250942827e-08
GO:0098813	3.24632531900844e-08
GO:0051276	3.60132668181209e-08
GO:1901988	5.95696052826566e-08
GO:0045786	1.24757459643947e-07
GO:0140014	1.54418816098682e-07
GO:0051304	1.55354744897938e-07
GO:0051983	1.55354744897938e-07
GO:0000070	2.26713910624972e-07
GO:0000819	2.4569167986396e-07
GO:0007088	1.2583520854015e-06
GO:0045930	1.53955121082223e-06
GO:1905818	1.71524588572876e-06
GO:0044770	2.09810463818019e-06
GO:0051984	3.46316568865075e-06
GO:0051783	4.45769422970101e-06
GO:0007094	9.38683634071586e-06
GO:0071173	9.38683634071586e-06
GO:0071174	9.38683634071586e-06
GO:0007346	1.04509986380285e-05
GO:0031577	1.10408909601168e-05
GO:0045841	1.29293078280459e-05
GO:0033046	1.50773731385703e-05
GO:0033048	1.50773731385703e-05
GO:1902100	1.50773731385703e-05
GO:2000816	1.50773731385703e-05
GO:0051985	1.75122396514785e-05
GO:1905819	1.75122396514785e-05
GO:1901987	1.88584702826086e-05
GO:1901991	2.07730966031381e-05
GO:0006268	3.05888557240458e-05
GO:0033047	3.07319040858478e-05
GO:0045839	3.07319040858478e-05
GO:0031570	4.19246000944618e-05
GO:0051784	4.52905768145568e-05
GO:0044772	5.07782948548554e-05
GO:0001833	6.71543115347536e-05
GO:1905820	7.52734536304507e-05
GO:0090068	0.000134168222319188
GO:1901976	0.000134182254113278
GO:0030071	0.000139999273684487
GO:0000077	0.000151557895432033
GO:1902099	0.000152170540293524
GO:0030261	0.000158589634266071
GO:0007091	0.000179136074481324
