% GOterm	enrichment_P-value
GO:0002064	6.61071773110183e-06
GO:1903902	2.68993800287359e-05
GO:0030855	5.98574380229485e-05
GO:0051231	7.17097363302056e-05
GO:0006270	7.92516952680966e-05
GO:0090235	0.000149969249697959
GO:1901016	0.000349315799306206
GO:1903046	0.000378988231011875
GO:0032467	0.000414457324605087
GO:2000641	0.000465159658742381
GO:0051310	0.000656566696646659
GO:0016575	0.000665457829666398
GO:0001885	0.000742145838388716
GO:0032465	0.000859406189588704
GO:0006268	0.00109019971155947
GO:0051303	0.00110875563956754
GO:0045787	0.00113934238250089
GO:0048285	0.00114924515518196
GO:0061028	0.00115823966495487
GO:0044770	0.00117198109360611
GO:0051590	0.00118719228193727
GO:1903649	0.00155730027070851
GO:0007059	0.00159010575406561
GO:0051255	0.00160549823653992
GO:1901380	0.00160549823653992
GO:0098813	0.00167071746325063
GO:0060324	0.00167510311289112
GO:0001778	0.00183625506155595
GO:1901379	0.00187998318874774
GO:0006476	0.00190310046231386
GO:0050000	0.00191188290733267
GO:1902532	0.00210365718776339
GO:0045723	0.00210543846865706
GO:0086103	0.00210543846865706
GO:0050878	0.00222516926786961
GO:0000280	0.00240300402327067
GO:0044843	0.0024119916294848
GO:0044000	0.00243632828133224
GO:0030174	0.00269207923434479
GO:1901550	0.00269207923434479
GO:1902969	0.00269207923434479
GO:1903140	0.00269207923434479
GO:0090068	0.00285879060024076
GO:0007595	0.00287748227863658
GO:0017156	0.00287748227863658
GO:0007589	0.00288589527527349
GO:0043266	0.00288589527527349
GO:0043408	0.00319769843296284
GO:0030036	0.00328693263050298
GO:0033599	0.00337002484207701
