% GOterm	enrichment_P-value
GO:0043161	0.000277053466767638
GO:0000045	0.000331225834231758
GO:1905037	0.000460024518458476
GO:0009156	0.000563510899886391
GO:1902903	0.000567468028103358
GO:0071361	0.000567550419604629
GO:0009161	0.000607290438946001
GO:0034470	0.000618231682659645
GO:0007033	0.000897395101904897
GO:0045807	0.00101227319777214
GO:0090068	0.00114297442022708
GO:0032006	0.00119007202843654
GO:0009124	0.00132850110275201
GO:0110053	0.00147821011784987
GO:0033574	0.00159687428071953
GO:0090026	0.00194886069509161
GO:0009123	0.00198124280865821
GO:0008154	0.00231153468963376
GO:0000959	0.00242836718637098
GO:0000209	0.00249679251537041
GO:1900120	0.00254953555769123
GO:0007015	0.00268268396149228
GO:0006513	0.00279009901618335
GO:0032968	0.00283119629375154
GO:0097193	0.00291641801370378
GO:0140053	0.00316899088668029
GO:0031929	0.00318732224761875
GO:0035336	0.00325306508602921
GO:0043244	0.00332212991275947
GO:1901879	0.00344731164208829
GO:0045787	0.00377037155371526
GO:0030100	0.00377115001602181
GO:0034243	0.00381457069460824
GO:0090025	0.00406464181628531
GO:0045931	0.00473415212545088
GO:0043094	0.00498890895110353
GO:0032786	0.00588111192129664
GO:0008156	0.00602998911139859
GO:0033522	0.00602998911139859
GO:0042118	0.00608927545643942
GO:0042451	0.00608927545643942
GO:0042455	0.00608927545643942
GO:0046129	0.00608927545643942
GO:1904019	0.00632237048818851
GO:1903955	0.00659548685741708
GO:0016042	0.00682568614852962
GO:1901796	0.00691281631925185
GO:1901992	0.0072071088578617
GO:0032984	0.00736840296364158
GO:0009174	0.00738373020940375
