% GOterm	enrichment_P-value
GO:0048193	4.5674965412159e-11
GO:0006900	7.75671429645227e-10
GO:0006888	3.2773036408831e-08
GO:0007030	1.5940337520991e-07
GO:0090114	1.88955220718367e-07
GO:0016032	2.31336015760642e-07
GO:0016050	4.58253415460258e-07
GO:0009101	9.49209291652419e-07
GO:0006901	1.04072692603767e-06
GO:0035459	3.57929062886845e-06
GO:0006486	3.59652992170963e-06
GO:0043413	3.59652992170963e-06
GO:0034250	4.00212910699965e-06
GO:0070085	1.19037912323954e-05
GO:0009100	1.3464678290002e-05
GO:0051645	1.85838845332288e-05
GO:0019082	1.97702342225682e-05
GO:0019080	1.9804174482294e-05
GO:0048199	3.0589235217965e-05
GO:0072594	5.19358836680258e-05
GO:0048207	6.91960817548562e-05
GO:0048208	6.91960817548562e-05
GO:0022613	6.93402631300234e-05
GO:0019058	8.42739615213276e-05
GO:0010998	0.000114281788532011
GO:0006493	0.000123079955132951
GO:0045727	0.000144621864850313
GO:0006413	0.000146977295650979
GO:0044403	0.000154602221094848
GO:0022604	0.000169251213229392
GO:0051701	0.000190879340194918
GO:0044000	0.000193763136814138
GO:0001553	0.000257532401441687
GO:0046718	0.000309676737904581
GO:0016072	0.000330013166287764
GO:0034470	0.00041222409952416
GO:0006903	0.000416290074072122
GO:0006417	0.000453339810378323
GO:0044409	0.000482676150978599
GO:0043558	0.000497928662472721
GO:0006457	0.000524897718087525
GO:0006364	0.000551537811542944
GO:0051656	0.00056134034640641
GO:0006986	0.000574280111738883
GO:0050687	0.000579916456481136
GO:0006890	0.000603772254147889
GO:0090110	0.000663946434382498
GO:0006605	0.000677068618492874
GO:0070972	0.000842869382198921
GO:0051648	0.000888588514901843
