% GOterm	enrichment_P-value
GO:0007411	4.55766890342891e-06
GO:0097485	4.8615122380304e-06
GO:0016049	5.09195481171537e-06
GO:0007264	1.10580663901406e-05
GO:0035023	1.47624897741407e-05
GO:0006354	1.95350090396914e-05
GO:0001558	3.85086346792423e-05
GO:0007409	3.98266816647126e-05
GO:0061564	4.42558072945862e-05
GO:0007265	5.68818149326328e-05
GO:0007266	6.78348869273205e-05
GO:0062042	9.02485649841912e-05
GO:0001667	0.000105315508632767
GO:0009154	0.000106407133680341
GO:0045661	0.000143889194977588
GO:0071526	0.000144393434054045
GO:0045445	0.000162964414265121
GO:0051056	0.000165672159001395
GO:0022604	0.000206166196420193
GO:0006195	0.000221297461576378
GO:0030168	0.000221584408407703
GO:0071218	0.000232527985711283
GO:0009261	0.000253239447810203
GO:0035633	0.000284225508392985
GO:0009214	0.0002883993881821
GO:0034333	0.0002883993881821
GO:0046058	0.00029068942957248
GO:0031589	0.000316593314937348
GO:1901292	0.000346882320225697
GO:0051788	0.000359245892301341
GO:0072523	0.000420066585790019
GO:0035330	0.000439352434121664
GO:0034504	0.000493313520168759
GO:0046578	0.000561622757095194
GO:0008154	0.000623166789309624
GO:0046822	0.000639582899067411
GO:0010718	0.000664875603976497
GO:0008360	0.000665089175316412
GO:0006458	0.000688463490029628
GO:0055091	0.000689130097208286
GO:0060841	0.000689130097208286
GO:1902285	0.000689130097208286
GO:0007015	0.000726551504519142
GO:0009166	0.000749279395732394
GO:0010810	0.000774590700955473
GO:0110053	0.00077773819453245
GO:0030198	0.000788982941002446
GO:0043062	0.000819371988402294
GO:0032970	0.000853086215213783
GO:0045926	0.000874752141849282
