% GOterm	enrichment_P-value
GO:0007059	8.65296508034062e-23
GO:0098813	6.67719400750715e-17
GO:0000280	3.34331053997024e-16
GO:0140014	2.3041667586342e-14
GO:0044772	1.27933757943895e-13
GO:0000070	3.99658242217204e-13
GO:0000819	6.54800397971983e-13
GO:0090068	1.58894171318054e-10
GO:0006261	2.87376250748532e-10
GO:0006260	3.23438463483391e-10
GO:0010948	5.91552510819902e-10
GO:0045787	8.87488512367309e-10
GO:0045786	1.0159590387222e-09
GO:1901988	1.39486607644573e-09
GO:1901987	1.54098699022729e-09
GO:0000281	3.75862133750304e-09
GO:0008608	5.0185272182403e-09
GO:0061640	5.14978419377087e-09
GO:1902850	6.49384058649049e-09
GO:0051988	6.76453852925343e-09
GO:0007052	7.27699191122063e-09
GO:0000075	9.48314878547313e-09
GO:1901990	1.03734610192365e-08
GO:0000910	2.26475032865116e-08
GO:0007051	2.7229911026848e-08
GO:0034508	4.36695761772348e-08
GO:0006268	4.51089685958751e-08
GO:0007088	5.97382284763236e-08
GO:0045930	8.48257590276057e-08
GO:0007093	8.90718598948005e-08
GO:0006310	9.81224495014062e-08
GO:1901991	1.10560698123224e-07
GO:0007265	1.23352344750097e-07
GO:0007094	1.78314607359481e-07
GO:0071173	1.78314607359481e-07
GO:0071174	1.78314607359481e-07
GO:0051783	1.86619613913939e-07
GO:0065004	2.08757343272812e-07
GO:0051983	2.13238388411048e-07
GO:0031577	2.22610861033083e-07
GO:0000727	2.39813611758594e-07
GO:0045841	2.76279302998504e-07
GO:0033260	3.23067484137635e-07
GO:0051304	3.63200075866482e-07
GO:1903046	3.85116858614156e-07
GO:0006270	4.13679255909396e-07
GO:1902100	4.18556942189231e-07
GO:0050000	4.19960135778762e-07
GO:1902969	4.35607484197169e-07
GO:0033046	5.1118228485412e-07
