% GOterm	enrichment_P-value
GO:0035303	9.16047143808034e-12
GO:0035304	9.67969703555119e-10
GO:0150115	3.60672250230481e-09
GO:0001952	4.58855993890083e-09
GO:0048041	4.97015027202869e-09
GO:0150116	5.86551527816691e-09
GO:0007160	1.70962344043502e-08
GO:0007044	1.80819625257704e-08
GO:0035306	3.05412634319589e-08
GO:0010810	3.53991075781038e-08
GO:0051893	3.57239049841595e-08
GO:0090109	3.57239049841595e-08
GO:0016311	2.63949846489382e-07
GO:0001667	3.25048503918695e-07
GO:0010812	5.09610803838637e-07
GO:0035307	5.12458088714582e-07
GO:0045936	5.6574322750959e-07
GO:0010563	5.88328823518025e-07
GO:0051494	6.15035808810298e-07
GO:0031589	6.73841740965095e-07
GO:0072659	1.01422576295508e-06
GO:0006470	1.50913746755074e-06
GO:0010639	1.54620804769311e-06
GO:0001953	1.59598718305558e-06
GO:0007264	1.94734518421924e-06
GO:0031954	2.42522074953135e-06
GO:1990778	2.5224163518884e-06
GO:0031952	3.17706678248105e-06
GO:0051895	3.87650173863597e-06
GO:0150118	3.87650173863597e-06
GO:1902904	5.38400466841729e-06
GO:0035305	5.89185080164113e-06
GO:1901889	6.97222173477014e-06
GO:0034329	7.85101637890839e-06
GO:0007015	1.13732941945595e-05
GO:1901888	1.22926872148527e-05
GO:0071560	1.40100612341078e-05
GO:0048771	1.59348122244782e-05
GO:0001954	1.71663475325924e-05
GO:0071559	1.81673119900043e-05
GO:0043666	2.18023844673271e-05
GO:0032956	2.43970512563759e-05
GO:0032970	2.84397261019734e-05
GO:0010921	2.85222816101433e-05
GO:0001933	3.75635324721506e-05
GO:0050920	3.81003431154082e-05
GO:0044089	4.42267515128413e-05
GO:1902903	4.56713114886428e-05
GO:0040013	4.93825723518924e-05
GO:0007162	5.55891909324169e-05
