% GOterm	enrichment_P-value
GO:0045807	0.000145513104084062
GO:0030100	0.000211517619570596
GO:0031333	0.000274056928294636
GO:0062207	0.00157907858169819
GO:0033135	0.00169922662138546
GO:0034121	0.00218444838870531
GO:0006268	0.00220750743793605
GO:0006906	0.00251513739995682
GO:0090174	0.00274383445980567
GO:0016050	0.002801269342231
GO:0051303	0.00288722900121849
GO:0062149	0.00321101907783886
GO:0043244	0.00324758189517013
GO:0050000	0.00412765102975008
GO:0002707	0.00452326567766676
GO:0007032	0.00498650453628531
GO:1902600	0.00498809282036142
GO:0002706	0.00505878714269394
GO:0007059	0.00516437445333341
GO:1902903	0.00516437445333341
GO:0051258	0.00564491557940092
GO:0034315	0.00595350628301031
GO:0048679	0.00595350628301031
GO:0008611	0.00603494007130281
GO:0042451	0.00603494007130281
GO:0042455	0.00603494007130281
GO:0046129	0.00603494007130281
GO:0046504	0.00603494007130281
GO:0046929	0.00603494007130281
GO:0060920	0.00603494007130281
GO:0097384	0.00603494007130281
GO:0032392	0.00650175972999287
GO:0051443	0.00651209548473233
GO:0043161	0.00660292380322285
GO:0048524	0.00687542902846653
GO:0016197	0.00717431373316329
GO:0032984	0.00717431373316329
GO:0002725	0.00731811268736409
GO:0034163	0.00731811268736409
GO:0043589	0.00731811268736409
GO:1901503	0.00731811268736409
GO:0045088	0.00753701130286662
GO:0046513	0.00767159133764833
GO:0035308	0.00772021608003729
GO:0070570	0.00772021608003729
GO:0046467	0.00809052798268056
GO:0070936	0.00809146049162804
GO:0043254	0.00812893156733348
GO:0048284	0.00862621140623324
GO:0071103	0.00864671498306599
