ID,Total_Cell_Count,MCavg_Norm_Cell_Count,MCavg_Norm_Proliferative,Categories
hsa-miR-5701,417,0.797593194,0.041447794,Anti
hsa-miR-4430,417.5,0.798549541,0.041447794,Anti
hsa-miR-3622a-5p,418.5,0.800462234,0.041447794,Anti
hsa-miR-890,431.5,0.82532725,0.041447794,Anti
hsa-miR-491-5p,438.5,0.838716104,0.041447794,Anti
hsa-miR-2467-3p,449,0.858799386,0.041447794,Anti
hsa-miR-1304-5p,456,0.872188241,0.041447794,Anti
hsa-miR-3612,456,0.872188241,0.041447794,Anti
hsa-miR-645,458.5,0.876969975,0.041447794,Anti
hsa-miR-4483,473,0.904704031,0.041447794,Anti
hsa-miR-3714,488.5,0.93435078,0.041447794,Anti
hsa-miR-4777-5p,346.5,0.662748301,0.04835576,Anti
hsa-miR-3192,352,0.673268116,0.04835576,Anti
hsa-miR-4736,366.5,0.701002172,0.04835576,Anti
hsa-miR-4753-3p,369.5,0.706740252,0.04835576,Anti
hsa-miR-4661-5p,376.5,0.720129107,0.04835576,Anti
hsa-miR-5582-5p,381,0.728736228,0.04835576,Anti
hsa-miR-4708-3p,393,0.75168855,0.04835576,Anti
hsa-miR-96-5p,415,0.793767807,0.04835576,Anti
hsa-miR-147a,420,0.803331275,0.04835576,Anti
hsa-miR-4790-5p,420.5,0.804287621,0.04835576,Anti
hsa-miR-3911,429.5,0.821501863,0.04835576,Anti
hsa-miR-219-1-3p,430.5,0.823414556,0.04835576,Anti
hsa-miR-555,454,0.868362854,0.04835576,Anti
hsa-miR-27a-5p,463.5,0.886533442,0.04835576,Anti
hsa-miR-617,494.5,0.945826941,0.04835576,Anti
hsa-miR-3678-5p,496,0.948695981,0.04835576,Anti
hsa-miR-3190-3p,502.5,0.961128489,0.04835576,Anti
hsa-miR-4297,330.5,0.632145205,0.055263726,Toxic
hsa-miR-4796-5p,381,0.728736228,0.055263726,Anti
hsa-miR-195-5p,391,0.747863163,0.055263726,Anti
hsa-miR-5003-3p,394.5,0.75455759,0.055263726,Anti
hsa-miR-136-3p,401,0.766990098,0.055263726,Anti
hsa-miR-3923,404.5,0.773684525,0.055263726,Anti
hsa-miR-4776-3p,404.5,0.773684525,0.055263726,Anti
hsa-miR-15b-5p,406.5,0.777509912,0.055263726,Anti
hsa-miR-431-3p,407,0.778466259,0.055263726,Anti
