"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.83976385890665,-2.4633461667245,-2.71068388830939,-2.25370637238879,-2.47192396876903,-2.36330052899442,-2.51539573466137
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.47525062304342,-3.12790469701311,-3.30259400359541,-2.7661599784836,-2.99728574387847,-2.8801108859249,-3.04041198590575
