"","hsa-miR-1827","hsa-miR-323a-3p","hsa-miR-449b-5p","hsa-miR-4774-3p","hsa-miR-491-3p","hsa-miR-5681b","hsa-miR-892b"
"cytoskeleton-dependent cytokinesis (go:0061640)",-2.79157661676273,-2.3822696845416,-2.60580838425704,-2.25121297131833,-2.38236162777436,-2.34043576027176,-2.45827128906682
"microtubule cytoskeleton organization involved in mitosis (go:1902850)",-3.47206364140825,-3.05260574538402,-3.31482909714972,-2.68320327553492,-2.97705262262876,-2.81097949271842,-3.05409965956419
