% GOterm	enrichment_P-value
GO:0048771	1.86512002060312e-08
GO:0090287	1.28948828512189e-07
GO:0050673	8.79562570713502e-07
GO:0043627	4.50616252513599e-06
GO:0045667	7.34537950611527e-06
GO:0050678	1.11489365178362e-05
GO:0097191	1.11502375680079e-05
GO:0017015	1.16362275108301e-05
GO:0071560	1.22138147959154e-05
GO:1903844	1.37218061724291e-05
GO:0071559	1.52241191477443e-05
GO:0090101	1.79063298613853e-05
GO:0090092	1.95390512815599e-05
GO:0007178	2.04955814214124e-05
GO:0007179	4.46613805580091e-05
GO:0030316	4.57033697251072e-05
GO:0030512	4.57033697251072e-05
GO:0040013	4.57234389343292e-05
GO:0150115	5.54610283542931e-05
GO:0031589	5.6122630746382e-05
GO:0050679	6.31488922607634e-05
GO:0072073	8.71464284410306e-05
GO:0007160	9.7630819743385e-05
GO:0060346	0.000100875177592591
GO:0045765	0.000121903437662777
GO:2001236	0.000132204933522493
GO:1901342	0.000143469643555782
GO:0048762	0.000167408070505682
GO:0030857	0.000170526734794198
GO:0048041	0.000172569135692037
GO:0022612	0.000191801586589759
GO:0060537	0.00019696702358623
GO:0061437	0.000215137587817749
GO:0061440	0.000215137587817749
GO:0060485	0.00021810056715265
GO:0046849	0.000222125799897174
GO:0061430	0.000235341713733114
GO:0016049	0.000239559093696417
GO:2000027	0.000245191026716902
GO:0001667	0.000266186591437477
GO:0010810	0.000282685718551994
GO:0050680	0.00029153638391243
GO:0030048	0.000296010738151222
GO:0030007	0.000297404093477438
GO:0007044	0.000316774649949491
GO:0014033	0.000335225136953601
GO:0061041	0.000339416893297374
GO:0007015	0.0003542092676629
GO:0050920	0.000356167435201426
GO:0045165	0.00041235907379342
