% GOterm	enrichment_P-value
GO:0007059	1.55421187178882e-20
GO:0000280	1.16773367656172e-18
GO:0000070	7.54868608255023e-17
GO:0098813	8.83474546631762e-17
GO:0000819	1.49921193235861e-16
GO:0140014	1.67440289541336e-16
GO:0044772	7.71443513495897e-16
GO:0008608	5.43471347111844e-12
GO:0000075	6.40672124421558e-12
GO:1901988	3.03135070907588e-11
GO:0010948	5.42891405943571e-11
GO:0007093	6.21578018732897e-11
GO:0045786	7.4697478443031e-11
GO:1901987	1.0256397743504e-10
GO:0051783	1.57255504246372e-10
GO:0007088	2.65923694931413e-10
GO:0045930	5.6789315105833e-10
GO:1901990	1.0482920683333e-09
GO:0051983	1.1974635560391e-09
GO:0090068	2.17802983483105e-09
GO:0051304	2.25154512093621e-09
GO:0006260	3.49177068312765e-09
GO:1901991	4.03861171984662e-09
GO:0045839	4.31102785660189e-09
GO:0007094	5.28846985307156e-09
GO:0071173	5.28846985307156e-09
GO:0071174	5.28846985307156e-09
GO:0045787	5.63225011145327e-09
GO:1905818	6.11226534533135e-09
GO:0031577	6.80504955736369e-09
GO:0045841	8.69839643528381e-09
GO:1902100	1.3948243973793e-08
GO:0033046	1.75081692377906e-08
GO:0033048	1.75081692377906e-08
GO:2000816	1.75081692377906e-08
GO:0051784	1.82923416313327e-08
GO:0051985	2.71397163517971e-08
GO:1905819	2.71397163517971e-08
GO:0071900	3.44974553453858e-08
GO:0051321	3.80814775867766e-08
GO:0033047	5.04577457136188e-08
GO:0006261	6.35437073117576e-08
GO:1903046	7.90723144235343e-08
GO:0051988	9.63443228704019e-08
GO:1901976	1.10762499517567e-07
GO:0030071	2.03517917211697e-07
GO:0007265	2.19680126692605e-07
GO:1902850	2.37022394061251e-07
GO:2001251	2.64037321761493e-07
GO:0006302	2.83483203715205e-07
