% GOterm	enrichment_P-value
GO:0055091	9.76069034701664e-06
GO:0060541	1.68138219532697e-05
GO:0030324	3.9386348588959e-05
GO:0030323	4.65393952124318e-05
GO:0006493	9.86666049804267e-05
GO:0071679	0.000105439203276511
GO:0006656	0.000116490652865576
GO:0043129	0.000283308735669622
GO:0046655	0.000283308735669622
GO:0048846	0.000306645292500061
GO:1902284	0.000306645292500061
GO:1903311	0.000328512740954111
GO:0006544	0.000346435207667147
GO:0044539	0.000346435207667147
GO:0006730	0.000376696932664593
GO:0043618	0.000376696932664593
GO:0048875	0.000417954945663341
GO:0006869	0.000422665641583145
GO:0046653	0.000498308633975656
GO:0048486	0.000498308633975656
GO:0140354	0.000498308633975656
GO:0043620	0.000600819434075656
GO:0071526	0.000600819434075656
GO:1905521	0.000600819434075656
GO:0051604	0.00064530430401562
GO:0002688	0.00081204281810769
GO:0050920	0.00090300864288825
GO:0048485	0.000916412854924957
GO:0048015	0.00096380489177984
GO:0010876	0.00107088892114772
GO:0015850	0.0010800952480221
GO:0032370	0.00108894221551313
GO:0048017	0.00109852043301997
GO:0007411	0.00112929149588489
GO:0001503	0.00115800771024902
GO:0097485	0.00116050230328576
GO:0097529	0.00116050230328576
GO:0006997	0.0012620766898372
GO:0050684	0.00141276785590751
GO:1905523	0.00150773269026554
GO:0048863	0.00155146417675135
GO:0048010	0.00159989632000518
GO:0002690	0.00160599866933183
GO:0014033	0.00160599866933183
GO:0006760	0.0016852909732889
GO:0014065	0.00169397938676888
GO:0001755	0.00181845147512734
GO:1905517	0.00181845147512734
GO:0010758	0.00187539215806513
GO:0002687	0.00194803323086648
