% GOterm	enrichment_P-value
GO:0003222	7.25240854698593e-05
GO:0032869	0.000241538844972454
GO:0035966	0.00040378241485436
GO:0060537	0.000858564353256222
GO:0007565	0.000891230301785088
GO:0061384	0.000913702254167375
GO:0030522	0.000925356360019191
GO:0007517	0.000936673313251666
GO:0032868	0.00110489352892374
GO:0006986	0.00149628023741857
GO:0044703	0.00150612607074358
GO:0044706	0.0018701809129916
GO:0070561	0.00188767236440828
GO:0071364	0.00202494130185397
GO:0071375	0.00236280866803722
GO:0007519	0.0026196387979188
GO:2001234	0.00262062859353757
GO:0055010	0.00263157193080133
GO:0070849	0.00263157193080133
GO:0036302	0.00265620520839594
GO:0071481	0.00265620520839594
GO:1905214	0.00265620520839594
GO:0061383	0.00279885183248547
GO:0009299	0.00297254620798832
GO:0000209	0.00316806298764904
GO:0090305	0.00330051164554136
GO:0060538	0.00349766265033808
GO:0072148	0.003547827740766
GO:0043434	0.00360369593121737
GO:0036503	0.00391695044072262
GO:0120034	0.00391695044072262
GO:0034393	0.00403885948104675
GO:0045618	0.00403885948104675
GO:2000846	0.00403885948104675
GO:0034976	0.00426463381803794
GO:0003229	0.00437439486604936
GO:0003198	0.00455954448991561
GO:0043161	0.00476869036487501
GO:0071071	0.00510951658514968
GO:0042752	0.00537694698876943
GO:0009755	0.0054839726824569
GO:0035967	0.00554038794196824
GO:0055008	0.00558395738230177
GO:0060135	0.00558395738230177
GO:0035338	0.00568841283669852
GO:0035930	0.00568841283669852
GO:0120032	0.00585790622922285
GO:0060491	0.00611697443675557
GO:0008286	0.00622733838962677
GO:0030150	0.00629587354145169
